event_id,event_date,event_type,city,capacity,tickets_sold,revenue,cost
EVT_1,2025-01-24,Pop-up store,Marseille,226,200,10597.81,7012.82
EVT_2,2024-08-23,Private sale,Lille,309,148,6929.97,4625.31
EVT_3,2024-04-30,Private sale,Lille,384,371,27958.26,11149.26
EVT_4,2025-05-31,Influencer event,Bordeaux,82,63,2308.37,818.63
EVT_5,2024-07-29,Product launch,Bordeaux,123,57,3964.48,2916.76
EVT_6,2024-02-05,Pop-up store,Bruxelles,298,201,11398.34,5038.18
EVT_7,2024-06-19,Product launch,Bruxelles,261,60,4275.18,2197.17
EVT_8,2024-04-19,Pop-up store,Lyon,93,39,1609.46,1049.38
EVT_9,2025-05-15,Private sale,Lyon,74,61,2741.5,1099.05
EVT_10,2024-02-26,Private sale,Bruxelles,114,31,2400.74,1537.82
EVT_11,2024-05-01,Product launch,Paris,364,36,1002.64,669.77
EVT_12,2024-09-30,Private sale,Marseille,254,243,4220.97,2400.5
EVT_13,2024-04-06,VIP preview,Lyon,198,50,758.36,514.09
EVT_14,2025-04-03,Live shopping,Bordeaux,222,38,1374.19,515.64
EVT_15,2024-03-27,VIP preview,Bruxelles,314,162,10404.55,7590.29
EVT_16,2024-07-10,Live shopping,Bruxelles,241,27,1146.23,627.04
EVT_17,2024-04-16,Pop-up store,Bruxelles,328,134,9219.11,5721.15
EVT_18,2024-05-29,Live shopping,Marseille,344,194,10138.49,6329.19
EVT_19,2024-06-23,VIP preview,Lyon,358,119,8512.37,6102.59
EVT_20,2024-02-27,Live shopping,Lyon,78,57,1088.96,414.88
EVT_21,2024-01-29,Product launch,Lyon,191,35,2668.56,940.77
EVT_22,2024-04-20,Live shopping,Paris,400,360,26374.97,17408.4
EVT_23,2024-11-25,Private sale,Bordeaux,315,251,5151.78,1844.7
EVT_24,2024-01-02,Live shopping,Paris,139,81,4115.98,1935.09
EVT_25,2024-11-28,Private sale,Bruxelles,351,173,5491.87,3235.0
EVT_26,2024-07-20,Influencer event,Lille,179,128,5863.37,3452.85
EVT_27,2024-09-04,VIP preview,Lyon,60,38,825.12,558.03
EVT_28,2025-03-11,Influencer event,Lyon,107,106,4661.27,2462.68
EVT_29,2025-03-27,Influencer event,Marseille,64,49,2328.86,1350.0
EVT_30,2025-04-06,Private sale,Lyon,134,122,6136.79,2736.94
EVT_31,2024-02-08,Product launch,Bordeaux,118,115,7176.43,4435.07
EVT_32,2024-11-02,Pop-up store,Lille,100,44,2849.76,1771.2
