month,channel,spend,impressions,clicks,conversions
2024-01-01,Instagram,6853.94,20387,223,26
2024-01-01,TikTok,2941.7,10797,471,43
2024-01-01,LinkedIn,872.13,37494,973,86
2024-01-01,Google Search,4249.85,114625,6267,605
2024-01-01,Referral,4759.89,116670,4641,223
2024-01-01,Event Walk-in,6903.77,10092,725,82
2024-01-01,Partnership,2576.59,64760,1444,41
2024-02-01,Instagram,6089.48,100338,3992,278
2024-02-01,TikTok,5580.4,110906,3037,113
2024-02-01,LinkedIn,5499.61,73220,4779,545
2024-02-01,Google Search,3011.83,128352,8527,677
2024-02-01,Referral,4488.02,127907,6540,523
2024-02-01,Event Walk-in,5488.67,71391,2361,173
2024-02-01,Partnership,3330.19,40945,603,23
2024-03-01,Instagram,2012.7,140702,7577,485
2024-03-01,TikTok,6389.16,68216,4409,142
2024-03-01,LinkedIn,3204.16,70230,1005,49
2024-03-01,Google Search,2388.75,145062,10789,705
2024-03-01,Referral,1378.52,147134,3036,136
2024-03-01,Event Walk-in,5211.42,68070,962,40
2024-03-01,Partnership,2662.25,77600,4701,364
2024-04-01,Instagram,3319.34,26591,1589,159
2024-04-01,TikTok,6817.95,95832,5287,245
2024-04-01,LinkedIn,1613.61,16166,576,14
2024-04-01,Google Search,5359.22,116150,5299,369
2024-04-01,Referral,4374.38,28577,796,60
2024-04-01,Event Walk-in,5345.93,39375,2392,243
2024-04-01,Partnership,3629.31,126273,6875,385
2024-05-01,Instagram,5698.43,141715,7311,778
2024-05-01,TikTok,931.62,61866,4418,506
2024-05-01,LinkedIn,3948.76,15063,555,38
2024-05-01,Google Search,5531.66,35114,539,27
2024-05-01,Referral,5578.62,60227,3969,121
2024-05-01,Event Walk-in,5085.77,109653,8397,361
2024-05-01,Partnership,2395.51,97275,4017,338
2024-06-01,Instagram,1666.36,67175,2711,177
2024-06-01,TikTok,1923.64,67030,1939,46
2024-06-01,LinkedIn,2993.85,79027,848,42
2024-06-01,Google Search,1293.62,16566,285,20
2024-06-01,Referral,2645.02,124627,3151,291
2024-06-01,Event Walk-in,5298.27,77809,3510,281
2024-06-01,Partnership,2215.24,102286,3655,254
2024-07-01,Instagram,6662.19,147224,2137,135
2024-07-01,TikTok,2037.96,142097,11271,953
2024-07-01,LinkedIn,5293.2,138057,7489,438
2024-07-01,Google Search,1977.59,148730,8778,478
2024-07-01,Referral,4547.31,84416,3704,390
2024-07-01,Event Walk-in,5164.35,121281,8665,816
2024-07-01,Partnership,1994.15,10259,780,58
2024-08-01,Instagram,2462.24,54264,4137,125
2024-08-01,TikTok,1977.42,143503,5240,381
2024-08-01,LinkedIn,5963.48,57977,2951,198
2024-08-01,Google Search,2720.05,66941,3043,192
2024-08-01,Referral,6923.6,61265,3570,172
2024-08-01,Event Walk-in,6668.9,18018,366,21
2024-08-01,Partnership,6772.96,130759,3990,189
2024-09-01,Instagram,5021.82,125185,3912,216
2024-09-01,TikTok,3313.11,99206,3921,249
2024-09-01,LinkedIn,2492.2,69222,5493,285
2024-09-01,Google Search,6017.74,121981,7734,173
2024-09-01,Referral,1376.52,113455,5598,119
2024-09-01,Event Walk-in,3306.64,55293,730,16
2024-09-01,Partnership,2401.95,48425,3588,124
2024-10-01,Instagram,5157.79,70375,3814,95
2024-10-01,TikTok,6695.75,114837,4071,208
2024-10-01,LinkedIn,3880.47,57655,1347,85
2024-10-01,Google Search,4289.19,113260,5786,199
2024-10-01,Referral,5131.88,116469,6054,641
2024-10-01,Event Walk-in,5860.09,67235,4872,108
2024-10-01,Partnership,2452.15,68402,5257,302
2024-11-01,Instagram,2646.98,86185,6601,250
2024-11-01,TikTok,6651.02,35605,1041,106
2024-11-01,LinkedIn,1986.14,63107,4232,279
2024-11-01,Google Search,2320.13,35758,2636,62
2024-11-01,Referral,6786.94,81583,1636,87
2024-11-01,Event Walk-in,1260.8,132832,8763,505
2024-11-01,Partnership,3433.59,145323,7806,217
2024-12-01,Instagram,2176.02,114566,8261,171
2024-12-01,TikTok,1605.47,143647,7885,844
2024-12-01,LinkedIn,1044.28,45857,911,63
2024-12-01,Google Search,2650.2,122845,5919,185
2024-12-01,Referral,5928.63,46281,1588,111
2024-12-01,Event Walk-in,6062.91,19376,386,10
2024-12-01,Partnership,4710.87,78711,790,69
2025-01-01,Instagram,1124.64,91116,3319,306
2025-01-01,TikTok,2092.48,92338,4733,376
2025-01-01,LinkedIn,4556.5,136863,5793,226
2025-01-01,Google Search,3047.96,57491,2191,159
2025-01-01,Referral,5345.44,23396,1845,209
2025-01-01,Event Walk-in,1575.06,129590,4057,202
2025-01-01,Partnership,4567.72,67917,1214,125
