order_id,customer_id,order_date,offer_type,channel,revenue,cost,status
ORD_1,CUST_379,2024-05-21,Beauty,Google Search,571.3,303.21,Completed
ORD_2,CUST_425,2024-11-09,Subscription Box,LinkedIn,670.72,372.97,Completed
ORD_3,CUST_817,2025-01-17,Gift Card,TikTok,449.35,208.15,Completed
ORD_4,CUST_425,2024-10-14,Subscription Box,LinkedIn,545.86,321.97,Refunded
ORD_5,CUST_211,2025-01-13,Gift Card,Partnership,598.55,227.53,Completed
ORD_6,CUST_273,2025-03-30,Beauty,Referral,490.23,262.84,Completed
ORD_7,CUST_1319,2024-06-03,Gift Card,LinkedIn,413.96,216.12,Cancelled
ORD_8,CUST_857,2025-03-08,Beauty,Instagram,470.55,339.58,Completed
ORD_9,CUST_396,2024-09-16,Premium Box,Instagram,301.43,154.2,Completed
ORD_10,CUST_1354,2024-01-03,Beauty,TikTok,328.72,203.01,Cancelled
ORD_11,CUST_673,2024-06-04,Subscription Box,Event Walk-in,379.48,222.37,Completed
ORD_12,CUST_1105,2025-05-29,Fashion,Partnership,115.31,85.79,Completed
ORD_13,CUST_405,2024-03-12,Fashion,LinkedIn,221.52,91.53,Completed
ORD_14,CUST_313,2024-09-18,Accessories,LinkedIn,139.48,57.4,Completed
ORD_15,CUST_281,2025-06-24,Gift Card,Referral,50.55,23.96,Completed
ORD_16,CUST_813,2024-10-06,Fashion,Instagram,224.83,89.5,Completed
ORD_17,CUST_209,2024-09-02,Limited Collection,LinkedIn,152.45,96.56,Completed
ORD_18,CUST_1168,2025-02-02,Limited Collection,Referral,412.28,260.57,Completed
ORD_19,CUST_655,2024-09-07,Gift Card,LinkedIn,162.74,93.69,Refunded
ORD_20,CUST_1354,2024-08-17,Subscription Box,TikTok,481.69,306.15,Completed
ORD_21,CUST_911,2024-07-26,Beauty,TikTok,391.29,250.67,Completed
ORD_22,CUST_357,2024-07-19,Limited Collection,TikTok,443.13,211.18,Completed
ORD_23,CUST_1244,2025-03-15,Limited Collection,Google Search,256.12,157.41,Completed
ORD_24,CUST_314,2025-02-12,Limited Collection,Instagram,407.0,272.06,Completed
ORD_25,CUST_424,2025-06-26,Beauty,Event Walk-in,368.87,209.06,Completed
ORD_26,CUST_979,2024-05-05,Premium Box,Referral,631.59,262.34,Completed
ORD_27,CUST_20,2025-03-20,Limited Collection,LinkedIn,356.86,174.95,Completed
ORD_28,CUST_892,2025-01-22,Accessories,Google Search,219.67,148.11,Completed
ORD_29,CUST_92,2024-05-25,Beauty,Partnership,287.5,154.73,Completed
ORD_30,CUST_433,2025-05-17,Subscription Box,Instagram,159.55,99.06,Completed
ORD_31,CUST_198,2024-08-29,Premium Box,Instagram,540.81,386.72,Completed
ORD_32,CUST_91,2025-05-17,Beauty,LinkedIn,433.09,209.97,Completed
ORD_33,CUST_1151,2025-01-03,Beauty,Event Walk-in,340.49,187.12,Completed
ORD_34,CUST_1335,2025-06-19,Fashion,Partnership,565.85,254.65,Completed
ORD_35,CUST_826,2025-06-12,Accessories,Google Search,177.07,97.8,Refunded
ORD_36,CUST_1336,2025-02-17,Fashion,Event Walk-in,23.39,9.75,Completed
ORD_37,CUST_461,2024-08-01,Accessories,Partnership,459.01,166.22,Completed
ORD_38,CUST_1124,2024-12-25,Fashion,Partnership,318.5,227.86,Completed
ORD_39,CUST_878,2025-04-19,Beauty,Referral,347.79,206.52,Cancelled
