event_id,event_date,event_type,city,capacity,tickets_sold,revenue,cost
EVT_1,2025-04-14,Networking,Kinshasa,238,210,16478.43,6256.51
EVT_2,2024-01-11,Workshop,Anvers,92,76,1208.67,903.46
EVT_3,2024-03-13,Workshop,Bruxelles,181,99,3707.88,1306.21
EVT_4,2024-09-20,Workshop,Paris,247,51,2361.67,1513.88
EVT_5,2024-08-11,Networking,Bruxelles,390,348,5483.15,2349.84
EVT_6,2025-06-23,Networking,Kinshasa,127,32,954.24,597.42
EVT_7,2025-04-29,Networking,Lille,243,225,11512.76,7470.98
EVT_8,2025-01-03,Conférence,Paris,348,73,4123.45,2707.94
EVT_9,2025-05-13,Expo culturelle,Lyon,55,23,1299.84,851.1
EVT_10,2025-01-24,Marché créatif,Kinshasa,81,49,2090.19,966.88
EVT_11,2025-03-07,Workshop,Kinshasa,230,38,3001.66,1051.38
EVT_12,2025-03-11,Workshop,Paris,79,61,4419.24,3200.72
EVT_13,2024-10-21,Workshop,Lille,76,41,1378.65,698.23
EVT_14,2025-05-29,Expo culturelle,Lyon,102,37,977.82,375.55
EVT_15,2024-09-24,Expo culturelle,Anvers,121,99,6974.97,4241.54
EVT_16,2024-03-18,Networking,Lyon,367,298,12712.71,6985.51
EVT_17,2024-10-17,Marché créatif,Lyon,271,226,14716.46,9393.57
EVT_18,2024-10-03,Marché créatif,Kinshasa,133,105,3270.61,1373.31
EVT_19,2024-11-19,Marché créatif,Lille,176,59,3791.94,2012.12
EVT_20,2025-01-09,Marché créatif,Paris,303,173,11474.52,8332.56
EVT_21,2025-05-26,Workshop,Anvers,162,72,2749.57,1892.12
EVT_22,2024-08-16,Workshop,Lille,346,121,8156.11,4793.6
EVT_23,2024-07-31,Marché créatif,Anvers,332,115,6171.44,4239.02
EVT_24,2025-05-15,Networking,Lyon,95,84,4468.43,2636.52
EVT_25,2025-01-27,Concert privé,Lyon,352,149,9559.15,5022.42
EVT_26,2024-05-19,Marché créatif,Kinshasa,226,130,4736.27,2674.17
EVT_27,2025-04-12,Conférence,Anvers,143,59,2450.04,1074.14
EVT_28,2024-05-19,Workshop,Lyon,66,50,970.16,410.33
EVT_29,2025-03-29,Workshop,Kinshasa,389,312,8646.69,6255.34
EVT_30,2024-04-05,Workshop,Kinshasa,87,44,2451.65,1289.83
EVT_31,2024-07-11,Conférence,Lyon,192,127,9346.69,4826.02
EVT_32,2024-06-03,Networking,Bruxelles,385,236,15513.05,6195.5
EVT_33,2024-01-13,Conférence,Bruxelles,272,229,9206.92,4806.83
EVT_34,2024-10-09,Workshop,Lyon,365,165,3135.91,1464.35
EVT_35,2025-05-25,Expo culturelle,Lille,371,113,3577.15,2632.4
EVT_36,2025-05-13,Conférence,Anvers,231,102,7627.25,4053.73
EVT_37,2025-05-26,Workshop,Paris,350,319,6719.79,4984.82
EVT_38,2024-10-19,Marché créatif,Anvers,103,99,2463.0,1109.49
EVT_39,2024-08-15,Conférence,Bruxelles,177,71,4348.66,2243.54
EVT_40,2025-03-17,Networking,Paris,365,309,5822.0,2556.9
EVT_41,2025-05-19,Networking,Lille,209,89,3072.6,1668.87
EVT_42,2025-04-14,Conférence,Kinshasa,400,398,24665.57,14318.85
EVT_43,2024-10-06,Workshop,Anvers,88,53,2194.86,872.25
EVT_44,2025-02-06,Networking,Lille,236,198,12120.18,8131.97
EVT_45,2025-04-10,Conférence,Lille,69,59,4607.39,2742.49
EVT_46,2024-10-15,Networking,Bruxelles,93,85,4840.72,2204.94
EVT_47,2024-01-30,Workshop,Bruxelles,244,84,1976.5,726.6
EVT_48,2024-08-14,Expo culturelle,Bruxelles,235,54,2095.32,772.73
EVT_49,2025-05-12,Expo culturelle,Kinshasa,286,227,14255.2,9312.72
EVT_50,2024-11-29,Conférence,Bruxelles,386,50,2404.07,1318.77
EVT_51,2025-03-17,Workshop,Lille,111,85,4460.24,1797.83
EVT_52,2024-05-12,Concert privé,Lyon,397,133,4201.84,2401.64
EVT_53,2024-03-19,Conférence,Lille,97,71,4448.78,1930.46
EVT_54,2024-08-15,Concert privé,Kinshasa,343,309,19199.9,13005.18
EVT_55,2024-12-19,Concert privé,Bruxelles,362,162,7235.26,4935.97
EVT_56,2024-04-12,Marché créatif,Paris,135,77,4332.9,2142.66
EVT_57,2024-09-27,Conférence,Paris,231,100,6635.46,4819.53
EVT_58,2025-03-01,Marché créatif,Anvers,78,65,3485.51,2426.61
EVT_59,2024-01-05,Concert privé,Bruxelles,298,141,2309.57,1150.6
EVT_60,2024-05-12,Networking,Lille,338,233,16783.98,12229.58
EVT_61,2024-09-09,Expo culturelle,Lyon,259,185,8882.06,3237.21
EVT_62,2025-04-08,Conférence,Bruxelles,182,32,1277.9,696.14
EVT_63,2025-03-29,Networking,Kinshasa,328,102,6589.83,2779.29
EVT_64,2024-06-29,Conférence,Bruxelles,131,115,2296.44,1080.85
