month,channel,spend,impressions,clicks,conversions
2024-01-01,Instagram,5077.99,83852,3134,406
2024-01-01,TikTok,5465.24,16426,525,12
2024-01-01,LinkedIn,1945.57,35477,2117,208
2024-01-01,Google Search,4098.51,119150,8765,638
2024-01-01,Referral,8077.27,13171,452,11
2024-01-01,Event Walk-in,3087.54,96101,3086,216
2024-01-01,Partnership,723.96,117923,2144,75
2024-02-01,Instagram,4359.47,107816,4536,447
2024-02-01,TikTok,3784.29,83896,4340,222
2024-02-01,LinkedIn,5667.79,111409,1255,93
2024-02-01,Google Search,1103.87,14942,947,114
2024-02-01,Referral,4435.0,141250,1648,87
2024-02-01,Event Walk-in,784.09,143206,5016,655
2024-02-01,Partnership,2462.79,41377,3291,230
2024-03-01,Instagram,1528.29,39980,1124,155
2024-03-01,TikTok,4437.87,76485,2662,65
2024-03-01,LinkedIn,4567.71,143134,1683,230
2024-03-01,Google Search,5573.95,139590,10711,703
2024-03-01,Referral,6479.5,11772,830,16
2024-03-01,Event Walk-in,2773.17,23959,998,153
2024-03-01,Partnership,2550.7,22470,1425,101
2024-04-01,Instagram,6566.29,105855,4425,575
2024-04-01,TikTok,5460.57,83463,6109,162
2024-04-01,LinkedIn,6302.62,18851,1247,59
2024-04-01,Google Search,3387.5,31954,914,105
2024-04-01,Referral,6524.44,131289,1992,80
2024-04-01,Event Walk-in,4064.27,45850,3570,196
2024-04-01,Partnership,1636.19,85203,1138,56
2024-05-01,Instagram,2361.99,142999,7187,499
2024-05-01,TikTok,4165.01,26207,616,43
2024-05-01,LinkedIn,5301.51,37358,471,48
2024-05-01,Google Search,5661.51,38602,2696,306
2024-05-01,Referral,1114.39,130154,9677,273
2024-05-01,Event Walk-in,1444.47,51434,932,40
2024-05-01,Partnership,874.15,23591,1301,149
2024-06-01,Instagram,3799.23,81252,6348,335
2024-06-01,TikTok,1185.19,67760,2719,112
2024-06-01,LinkedIn,3857.01,123321,7616,726
2024-06-01,Google Search,3534.09,108008,2506,323
2024-06-01,Referral,6160.24,32791,1498,80
2024-06-01,Event Walk-in,1317.89,32548,1492,67
2024-06-01,Partnership,4231.92,83996,5456,426
2024-07-01,Instagram,2696.59,88767,3068,408
2024-07-01,TikTok,4134.71,131906,8776,266
2024-07-01,LinkedIn,4911.64,104702,2325,198
2024-07-01,Google Search,4975.94,109974,6188,776
2024-07-01,Referral,3275.59,91675,3775,163
2024-07-01,Event Walk-in,4143.65,144227,4295,765
2024-07-01,Partnership,2969.24,135994,9257,1087
2024-08-01,Instagram,786.0,77785,3811,288
2024-08-01,TikTok,1481.38,137700,4721,387
2024-08-01,LinkedIn,2319.64,113191,8758,868
2024-08-01,Google Search,2135.06,25154,1227,38
2024-08-01,Referral,7093.31,75785,4297,94
2024-08-01,Event Walk-in,2225.4,98873,3529,298
2024-08-01,Partnership,3368.88,66873,4754,215
2024-09-01,Instagram,2048.58,95204,2197,56
2024-09-01,TikTok,3551.02,109187,3455,326
2024-09-01,LinkedIn,7342.62,30189,2159,322
2024-09-01,Google Search,1464.41,130973,2184,57
2024-09-01,Referral,4995.74,81719,6006,303
2024-09-01,Event Walk-in,3673.69,113738,7694,657
2024-09-01,Partnership,4072.01,109894,8094,823
2024-10-01,Instagram,2848.92,31080,1346,80
2024-10-01,TikTok,1643.57,133124,1730,214
2024-10-01,LinkedIn,1075.61,137023,2564,144
2024-10-01,Google Search,6340.4,107713,7366,522
2024-10-01,Referral,2604.01,112803,3364,98
2024-10-01,Event Walk-in,1309.66,39129,1875,107
2024-10-01,Partnership,950.32,139038,4323,122
2024-11-01,Instagram,3881.26,19037,1283,147
2024-11-01,TikTok,1515.36,88793,2522,156
2024-11-01,LinkedIn,1870.24,129839,9439,1302
2024-11-01,Google Search,2771.7,140908,10728,1006
2024-11-01,Referral,6652.58,29651,1121,44
2024-11-01,Event Walk-in,702.89,26660,773,125
2024-11-01,Partnership,4120.02,144417,9647,1486
2024-12-01,Instagram,2796.78,100709,3402,98
2024-12-01,TikTok,2284.43,112267,8366,911
2024-12-01,LinkedIn,663.99,10199,481,55
2024-12-01,Google Search,1116.56,115199,8821,422
2024-12-01,Referral,8004.68,149539,5015,185
2024-12-01,Event Walk-in,1927.74,118111,8222,917
2024-12-01,Partnership,3205.4,137347,10662,1410
2025-01-01,Instagram,1983.67,135332,9549,312
2025-01-01,TikTok,2077.58,132289,9624,1154
2025-01-01,LinkedIn,991.09,145956,3592,173
2025-01-01,Google Search,2741.34,149767,5129,623
2025-01-01,Referral,6129.4,144186,7232,139
2025-01-01,Event Walk-in,1253.37,45607,1740,299
2025-01-01,Partnership,4048.59,79605,4555,546
2025-02-01,Instagram,822.06,55335,3192,343
2025-02-01,TikTok,3686.25,73070,3677,188
2025-02-01,LinkedIn,2822.24,11057,637,46
2025-02-01,Google Search,1923.16,127110,1996,153
2025-02-01,Referral,3631.3,118362,2321,77
2025-02-01,Event Walk-in,2488.94,82141,6396,763
2025-02-01,Partnership,2782.53,111961,7946,799
2025-03-01,Instagram,1244.24,14064,411,20
2025-03-01,TikTok,2444.0,132335,1574,90
2025-03-01,LinkedIn,5923.33,25653,899,116
2025-03-01,Google Search,5586.03,43680,439,60
2025-03-01,Referral,4727.59,41950,736,16
2025-03-01,Event Walk-in,914.42,66139,2351,256
2025-03-01,Partnership,2488.12,71307,3253,433
2025-04-01,Instagram,3782.68,147601,8176,963
2025-04-01,TikTok,5046.85,48168,3223,101
2025-04-01,LinkedIn,1276.57,107148,5467,878
2025-04-01,Google Search,4960.79,16997,247,25
2025-04-01,Referral,6655.64,114379,8855,441
2025-04-01,Event Walk-in,1927.07,65555,4249,384
2025-04-01,Partnership,1400.63,96467,7293,623
2025-05-01,Instagram,1470.98,104604,4411,137
2025-05-01,TikTok,1892.99,79932,838,102
2025-05-01,LinkedIn,5479.71,61237,1435,67
2025-05-01,Google Search,6227.11,13234,734,69
2025-05-01,Referral,2301.65,110943,2577,149
2025-05-01,Event Walk-in,3985.69,106150,1408,258
2025-05-01,Partnership,509.84,139051,5327,600
2025-06-01,Instagram,4347.19,60131,2142,166
2025-06-01,TikTok,4382.28,105770,7780,243
2025-06-01,LinkedIn,3652.09,123388,2354,320
2025-06-01,Google Search,1622.1,97174,3099,229
2025-06-01,Referral,2740.8,45456,630,16
2025-06-01,Event Walk-in,3500.4,40592,1130,189
2025-06-01,Partnership,4104.71,59694,4370,616
