month,channel,spend,impressions,clicks,conversions
2024-01-01,Instagram,4231.66,83852,3134,338
2024-01-01,TikTok,5465.24,16426,525,11
2024-01-01,LinkedIn,1496.59,35477,2117,149
2024-01-01,Google Search,3725.91,119150,8765,491
2024-01-01,Referral,5769.48,13171,452,23
2024-01-01,Event Walk-in,4410.77,96101,3086,135
2024-01-01,Partnership,904.95,117923,2144,58
2024-02-01,Instagram,3632.89,107816,4536,372
2024-02-01,TikTok,3784.29,83896,4340,202
2024-02-01,LinkedIn,4359.84,111409,1255,66
2024-02-01,Google Search,1003.52,14942,947,88
2024-02-01,Referral,3167.86,141250,1648,175
2024-02-01,Event Walk-in,1120.13,143206,5016,409
2024-02-01,Partnership,3078.49,41377,3291,176
2024-03-01,Instagram,1273.58,39980,1124,129
2024-03-01,TikTok,4437.87,76485,2662,59
2024-03-01,LinkedIn,3513.63,143134,1683,164
2024-03-01,Google Search,5067.23,139590,10711,541
2024-03-01,Referral,4628.22,11772,830,33
2024-03-01,Event Walk-in,3961.67,23959,998,95
2024-03-01,Partnership,3188.38,22470,1425,77
2024-04-01,Instagram,5471.91,105855,4425,479
2024-04-01,TikTok,5460.57,83463,6109,147
2024-04-01,LinkedIn,4848.17,18851,1247,42
2024-04-01,Google Search,3079.55,31954,914,80
2024-04-01,Referral,4660.32,131289,1992,161
2024-04-01,Event Walk-in,5806.1,45850,3570,122
2024-04-01,Partnership,2045.24,85203,1138,43
2024-05-01,Instagram,1968.32,142999,7187,415
2024-05-01,TikTok,4165.01,26207,616,39
2024-05-01,LinkedIn,4078.08,37358,471,34
2024-05-01,Google Search,5146.83,38602,2696,235
2024-05-01,Referral,795.99,130154,9677,546
2024-05-01,Event Walk-in,2063.53,51434,932,25
2024-05-01,Partnership,1092.69,23591,1301,115
2024-06-01,Instagram,3166.02,81252,6348,279
2024-06-01,TikTok,1185.19,67760,2719,102
2024-06-01,LinkedIn,2966.93,123321,7616,518
2024-06-01,Google Search,3212.81,108008,2506,248
2024-06-01,Referral,4400.17,32791,1498,160
2024-06-01,Event Walk-in,1882.7,32548,1492,41
2024-06-01,Partnership,5289.9,83996,5456,328
2024-07-01,Instagram,2247.16,88767,3068,340
2024-07-01,TikTok,4134.71,131906,8776,242
2024-07-01,LinkedIn,3778.19,104702,2325,141
2024-07-01,Google Search,4523.59,109974,6188,597
2024-07-01,Referral,2339.7,91675,3775,326
2024-07-01,Event Walk-in,5919.5,144227,4295,478
2024-07-01,Partnership,3711.55,135994,9257,836
2024-08-01,Instagram,655.0,77785,3811,240
2024-08-01,TikTok,1481.38,137700,4721,352
2024-08-01,LinkedIn,1784.34,113191,8758,620
2024-08-01,Google Search,1940.96,25154,1227,29
2024-08-01,Referral,5066.65,75785,4297,188
2024-08-01,Event Walk-in,3179.14,98873,3529,186
2024-08-01,Partnership,4211.1,66873,4754,165
2024-09-01,Instagram,1707.15,95204,2197,47
2024-09-01,TikTok,3551.02,109187,3455,297
2024-09-01,LinkedIn,5648.17,30189,2159,230
2024-09-01,Google Search,1331.28,130973,2184,44
