order_id,customer_id,order_date,offer_type,channel,revenue,cost,status
ORD_1,CUST_205,2024-05-02,Partner Offer,Event Walk-in,403.47,137.79,Completed
ORD_2,CUST_827,2024-05-26,Media Package,Referral,428.14,181.19,Completed
ORD_3,CUST_765,2024-04-21,Corporate Package,TikTok,426.63,186.41,Cancelled
ORD_4,CUST_1439,2025-04-17,Media Package,Referral,473.92,161.38,Refunded
ORD_5,CUST_782,2024-06-23,Event Ticket,LinkedIn,292.24,139.86,Completed
ORD_6,CUST_386,2024-09-18,Media Package,Partnership,300.47,137.08,Completed
ORD_7,CUST_522,2024-08-22,Corporate Package,Google Search,420.37,283.81,Completed
ORD_8,CUST_337,2024-05-03,Creative Studio,LinkedIn,24.75,9.16,Completed
ORD_9,CUST_96,2024-11-27,Creative Studio,TikTok,445.59,173.61,Completed
ORD_10,CUST_996,2025-03-03,Partner Offer,Instagram,31.72,19.31,Completed
ORD_11,CUST_144,2024-07-17,Event Ticket,Event Walk-in,317.41,172.28,Completed
ORD_12,CUST_429,2025-02-09,Workshop,Event Walk-in,370.58,180.46,Completed
ORD_13,CUST_975,2024-06-29,Media Package,Instagram,226.09,90.92,Completed
ORD_14,CUST_447,2025-04-29,Corporate Package,TikTok,31.25,20.01,Completed
ORD_15,CUST_374,2024-01-15,Workshop,LinkedIn,134.28,75.95,Refunded
ORD_16,CUST_1483,2025-06-19,Workshop,Partnership,431.98,265.26,Completed
ORD_17,CUST_785,2024-07-18,Event Ticket,TikTok,384.44,197.79,Completed
ORD_18,CUST_22,2025-01-09,Media Package,Partnership,255.71,84.95,Completed
ORD_19,CUST_444,2024-04-16,Media Package,LinkedIn,239.02,113.84,Completed
ORD_20,CUST_660,2025-03-19,Event Ticket,Google Search,185.49,74.3,Completed
ORD_21,CUST_1424,2024-02-18,Corporate Package,Referral,82.94,53.97,Completed
ORD_22,CUST_34,2024-09-27,Event Ticket,Event Walk-in,210.29,115.05,Completed
ORD_23,CUST_1141,2024-02-08,Partner Offer,Google Search,362.16,157.74,Refunded
ORD_24,CUST_701,2024-05-12,Creative Studio,TikTok,152.08,83.26,Completed
ORD_25,CUST_251,2025-02-15,Partner Offer,Instagram,144.55,74.77,Completed
ORD_26,CUST_659,2025-06-23,Partner Offer,Referral,60.49,19.75,Completed
ORD_27,CUST_1141,2024-03-08,Media Package,Google Search,400.94,253.4,Completed
ORD_28,CUST_1470,2025-01-21,Event Ticket,Partnership,280.52,86.9,Refunded
ORD_29,CUST_1411,2025-04-13,Membership,LinkedIn,388.1,168.06,Completed
