event_id,event_date,event_type,city,capacity,tickets_sold,revenue,cost
EVT_1,2024-01-29,Product demo,Madrid,211,122,8284.27,4359.87
EVT_2,2024-10-30,Partner session,Amsterdam,371,126,6460.21,3684.47
EVT_3,2024-07-25,Webinar,Paris,363,175,4087.34,2766.62
EVT_4,2024-01-18,Product demo,Amsterdam,67,32,1201.35,852.87
EVT_5,2024-05-24,Product demo,Madrid,211,34,1232.86,891.64
EVT_6,2024-09-26,Community event,Amsterdam,374,243,6181.07,2239.9
EVT_7,2024-11-16,Training,Paris,282,20,371.9,146.07
EVT_8,2025-05-22,Webinar,Bruxelles,150,100,3649.03,1813.83
EVT_9,2024-02-07,Webinar,Madrid,138,98,6845.15,3900.46
EVT_10,2025-06-29,Community event,Amsterdam,397,250,19929.6,14852.37
EVT_11,2025-01-03,Webinar,Amsterdam,316,116,8690.69,5634.04
EVT_12,2024-03-26,Customer workshop,Paris,99,96,3327.24,2404.7
EVT_13,2024-11-20,Training,Paris,185,176,11493.68,8443.19
EVT_14,2025-02-24,Product demo,Lisbonne,149,34,692.22,368.75
EVT_15,2024-08-02,Customer workshop,Madrid,358,97,5788.3,2784.01
EVT_16,2024-03-29,Product demo,Amsterdam,298,176,6941.71,4683.94
EVT_17,2024-10-03,Training,Bruxelles,303,86,2758.2,1789.41
EVT_18,2025-01-22,Webinar,Lisbonne,129,104,2395.86,1319.58
EVT_19,2024-01-05,Customer workshop,Bruxelles,77,24,606.08,334.33
EVT_20,2024-06-25,Partner session,Lisbonne,284,129,5770.28,2573.64
EVT_21,2024-10-28,Product demo,Lisbonne,246,245,12080.45,7859.86
EVT_22,2025-03-06,Partner session,Berlin,234,184,8061.64,5507.3
EVT_23,2024-03-25,Partner session,Berlin,200,55,1335.43,884.56
EVT_24,2025-06-15,Community event,Lisbonne,271,66,3888.05,2385.77
EVT_25,2025-05-16,Training,Madrid,76,57,1151.34,820.34
EVT_26,2024-08-09,Training,Paris,280,217,7930.85,5663.85
EVT_27,2025-02-26,Webinar,Bruxelles,358,175,6612.61,2850.93
EVT_28,2024-06-19,Customer workshop,Amsterdam,213,38,1971.89,939.24
EVT_29,2024-12-04,Community event,Madrid,283,189,10474.49,4810.73
EVT_30,2024-12-27,Product demo,Paris,349,301,12599.04,4914.96
EVT_31,2024-12-13,Training,Paris,56,53,2264.66,1211.64
EVT_32,2024-02-15,Training,Berlin,127,125,4395.52,2730.32
EVT_33,2024-04-13,Customer workshop,Lisbonne,339,203,12847.22,5617.45
EVT_34,2025-04-23,Community event,Lisbonne,364,95,2516.24,1094.95
EVT_35,2024-01-20,Community event,Lisbonne,191,115,5456.97,2680.28
EVT_36,2025-02-05,Partner session,Berlin,193,36,1262.61,667.92
EVT_37,2024-03-05,Product demo,Berlin,382,382,22508.87,10389.32
EVT_38,2024-03-09,Product demo,Lisbonne,362,67,3877.67,2060.11
EVT_39,2024-02-16,Partner session,Lisbonne,216,168,7923.38,4625.74
EVT_40,2025-06-18,Partner session,Lisbonne,55,25,1830.14,820.86
EVT_41,2024-08-19,Webinar,Madrid,77,53,3979.2,2441.66
EVT_42,2025-03-13,Training,Paris,174,158,11140.61,4292.41
EVT_43,2025-06-05,Product demo,Lisbonne,142,54,3158.28,1903.76
EVT_44,2024-05-22,Community event,Berlin,127,74,3849.22,2168.19
EVT_45,2025-03-12,Community event,Madrid,287,91,3175.08,1581.96
EVT_46,2024-12-22,Partner session,Bruxelles,112,67,2612.61,1668.91
EVT_47,2024-10-06,Training,Berlin,69,29,2254.35,941.1
EVT_48,2024-10-12,Partner session,Paris,388,135,6062.12,3434.97
EVT_49,2024-01-14,Webinar,Madrid,360,171,10154.22,5102.32
EVT_50,2024-09-08,Webinar,Berlin,343,228,7995.79,4803.84
EVT_51,2024-03-06,Customer workshop,Madrid,320,277,13215.72,9482.01
EVT_52,2025-03-17,Customer workshop,Bruxelles,156,93,5700.43,3701.55
EVT_53,2024-09-05,Webinar,Madrid,246,152,3660.93,2553.1
