month,channel,spend,impressions,clicks,conversions
2024-01-01,Instagram,2466.13,51729,1463,144
2024-01-01,TikTok,2001.85,14368,959,59
2024-01-01,LinkedIn,6398.33,31704,1621,94
2024-01-01,Google Search,8612.78,32231,1318,100
2024-01-01,Referral,6349.12,79748,1207,40
2024-01-01,Event Walk-in,6196.07,83196,4848,375
2024-01-01,Partnership,4882.41,46303,611,72
2024-02-01,Instagram,8139.58,141611,3893,355
2024-02-01,TikTok,3861.86,95410,1714,209
2024-02-01,LinkedIn,5777.54,48246,582,26
2024-02-01,Google Search,7945.52,112982,6612,941
2024-02-01,Referral,4786.69,71367,4374,109
2024-02-01,Event Walk-in,3213.28,149181,11928,766
2024-02-01,Partnership,3955.61,111292,3685,213
2024-03-01,Instagram,7798.8,78815,2651,123
2024-03-01,TikTok,4011.52,21124,696,80
2024-03-01,LinkedIn,2355.48,39788,1511,223
2024-03-01,Google Search,9529.23,147986,7105,408
2024-03-01,Referral,9276.3,57586,2750,75
2024-03-01,Event Walk-in,5528.78,12866,739,116
2024-03-01,Partnership,6732.83,26276,1778,272
2024-04-01,Instagram,5337.63,34703,1934,96
2024-04-01,TikTok,5626.05,24770,1329,93
2024-04-01,LinkedIn,8007.84,113237,5339,338
2024-04-01,Google Search,2323.3,81856,2033,275
2024-04-01,Referral,7086.72,98282,6149,349
2024-04-01,Event Walk-in,4438.14,107338,6858,1211
2024-04-01,Partnership,6277.7,38125,1550,51
2024-05-01,Instagram,2780.36,140716,5211,682
2024-05-01,TikTok,8746.3,94809,1729,199
2024-05-01,LinkedIn,11691.36,75348,2140,314
2024-05-01,Google Search,1238.84,48204,1617,191
2024-05-01,Referral,4817.78,129679,8733,141
2024-05-01,Event Walk-in,2036.65,66273,4208,804
2024-05-01,Partnership,2272.27,88882,6967,740
2024-06-01,Instagram,3330.05,78367,4173,181
2024-06-01,TikTok,7884.76,125678,9534,362
2024-06-01,LinkedIn,3886.32,36351,1010,135
2024-06-01,Google Search,6977.37,119581,5581,373
2024-06-01,Referral,9206.76,42892,796,43
2024-06-01,Event Walk-in,3224.79,34345,1651,147
2024-06-01,Partnership,6830.33,67672,2131,215
2024-07-01,Instagram,7572.88,22362,1008,144
2024-07-01,TikTok,4427.17,96656,2148,118
2024-07-01,LinkedIn,2618.88,93570,4271,704
2024-07-01,Google Search,7271.89,103770,4550,274
2024-07-01,Referral,6407.61,99814,5809,221
2024-07-01,Event Walk-in,4079.95,81332,3810,689
2024-07-01,Partnership,3846.53,88497,5338,333
2024-08-01,Instagram,9662.61,23661,1824,248
2024-08-01,TikTok,7974.84,76382,5797,185
2024-08-01,LinkedIn,3807.55,70477,1223,83
2024-08-01,Google Search,2376.91,75752,5016,549
2024-08-01,Referral,3190.97,112258,5077,60
2024-08-01,Event Walk-in,3347.39,16071,1142,83
2024-08-01,Partnership,993.28,39385,2480,199
2024-09-01,Instagram,4430.72,89033,954,55
2024-09-01,TikTok,1327.7,146999,10441,1007
2024-09-01,LinkedIn,10859.93,19646,1380,39
2024-09-01,Google Search,4319.77,19327,769,93
2024-09-01,Referral,1979.75,64498,3001,136
2024-09-01,Event Walk-in,5969.09,88805,5654,658
2024-09-01,Partnership,1877.86,58832,3063,343
2024-10-01,Instagram,2885.87,67446,1702,189
2024-10-01,TikTok,4029.83,23558,1257,47
2024-10-01,LinkedIn,2489.12,36686,2095,130
2024-10-01,Google Search,5014.74,110555,5972,867
2024-10-01,Referral,3356.02,42476,634,23
2024-10-01,Event Walk-in,6253.74,27970,1952,274
2024-10-01,Partnership,3200.67,100785,5924,345
2024-11-01,Instagram,6948.27,60867,1961,126
2024-11-01,TikTok,8070.2,131547,3973,164
2024-11-01,LinkedIn,8787.12,74205,4074,129
2024-11-01,Google Search,7574.44,114264,3924,471
2024-11-01,Referral,6814.47,104531,2899,96
2024-11-01,Event Walk-in,1061.09,109641,7187,903
2024-11-01,Partnership,4970.87,39378,781,64
2024-12-01,Instagram,3857.12,86155,1337,39
2024-12-01,TikTok,3903.36,73880,1829,151
2024-12-01,LinkedIn,11234.94,104220,1374,141
2024-12-01,Google Search,9633.75,41430,2522,162
2024-12-01,Referral,5312.13,67529,4064,166
2024-12-01,Event Walk-in,1778.99,66357,1118,140
2024-12-01,Partnership,2424.17,110957,3836,535
2025-01-01,Instagram,3866.03,48455,2440,97
2025-01-01,TikTok,5521.56,125992,5634,330
2025-01-01,LinkedIn,3608.1,116787,3529,237
2025-01-01,Google Search,7231.94,40497,1956,62
2025-01-01,Referral,4871.14,51445,1427,31
2025-01-01,Event Walk-in,5344.02,104295,3875,593
2025-01-01,Partnership,6257.28,94186,7381,314
2025-02-01,Instagram,8233.17,58615,2394,71
2025-02-01,TikTok,2610.73,128271,4671,594
2025-02-01,LinkedIn,1340.84,109972,7330,1004
2025-02-01,Google Search,2296.16,11429,611,71
2025-02-01,Referral,1419.76,26351,1685,24
2025-02-01,Event Walk-in,2263.72,49053,1124,37
