order_id,customer_id,order_date,offer_type,channel,revenue,cost,status
ORD_1,CUST_756,2025-03-06,Business Plan,Google Search,988.73,191.77,Completed
ORD_2,CUST_292,2024-05-05,Enterprise Plan,LinkedIn,1085.0,275.93,Completed
ORD_3,CUST_117,2024-11-20,Business Plan,LinkedIn,89.27,36.88,Completed
ORD_4,CUST_271,2025-06-10,Basic Plan,Google Search,1105.58,451.38,Completed
ORD_5,CUST_590,2025-02-09,Pro Plan,LinkedIn,102.26,16.39,Refunded
ORD_6,CUST_1042,2025-04-13,Business Plan,LinkedIn,175.12,32.34,Completed
ORD_7,CUST_195,2024-02-16,Pro Plan,Google Search,1057.78,189.63,Completed
ORD_8,CUST_472,2025-05-08,Business Plan,Instagram,255.07,76.84,Completed
ORD_9,CUST_1082,2024-04-26,Pro Plan,LinkedIn,217.96,82.28,Completed
ORD_10,CUST_900,2024-05-13,Business Plan,Partnership,765.19,301.47,Completed
ORD_11,CUST_669,2024-09-13,Pro Plan,Google Search,959.91,356.82,Refunded
ORD_12,CUST_761,2025-06-29,Pro Plan,TikTok,1001.07,310.9,Completed
ORD_13,CUST_828,2024-09-10,Basic Plan,Google Search,1179.57,449.92,Completed
ORD_14,CUST_1311,2025-04-01,Business Plan,Google Search,721.44,322.08,Completed
ORD_15,CUST_46,2025-04-27,Business Plan,Instagram,80.21,30.16,Refunded
ORD_16,CUST_883,2025-02-15,Enterprise Plan,Google Search,546.99,95.42,Completed
ORD_17,CUST_387,2024-03-05,Business Plan,LinkedIn,758.99,251.36,Completed
ORD_18,CUST_328,2025-06-02,Basic Plan,Google Search,1154.46,221.63,Completed
ORD_19,CUST_253,2024-04-21,Business Plan,Google Search,840.49,220.83,Completed
ORD_20,CUST_1128,2024-10-25,Pro Plan,LinkedIn,872.04,183.96,Completed
ORD_21,CUST_1011,2025-03-22,Onboarding,Partnership,434.53,161.07,Refunded
ORD_22,CUST_644,2025-06-19,Pro Plan,Google Search,189.06,72.79,Completed
ORD_23,CUST_1027,2024-05-08,Pro Plan,Google Search,715.1,253.52,Completed
ORD_24,CUST_768,2025-06-15,Enterprise Plan,TikTok,972.12,185.75,Completed
ORD_25,CUST_1196,2024-02-08,Enterprise Plan,Partnership,130.27,42.71,Completed
ORD_26,CUST_1194,2024-11-01,Pro Plan,Google Search,322.68,88.78,Completed
ORD_27,CUST_1196,2024-02-02,Basic Plan,Partnership,873.77,131.43,Completed
ORD_28,CUST_903,2024-11-24,Basic Plan,Partnership,983.76,319.05,Completed
ORD_29,CUST_734,2025-04-12,Pro Plan,Google Search,444.18,126.03,Completed
ORD_30,CUST_939,2024-09-10,Basic Plan,Google Search,269.45,54.33,Completed
ORD_31,CUST_275,2025-01-23,Onboarding,Google Search,833.89,310.02,Completed
ORD_32,CUST_45,2024-01-03,Basic Plan,Referral,293.54,127.74,Completed
ORD_33,CUST_1466,2024-03-18,Basic Plan,Google Search,176.12,52.77,Refunded
ORD_34,CUST_1211,2024-04-01,Basic Plan,LinkedIn,739.55,141.91,Completed
ORD_35,CUST_1396,2024-08-19,Pro Plan,Google Search,68.24,14.94,Completed
ORD_36,CUST_1021,2024-06-12,Pro Plan,Google Search,197.52,59.0,Completed
ORD_37,CUST_463,2024-05-03,Onboarding,Google Search,1036.49,224.37,Refunded
ORD_38,CUST_1250,2024-03-20,Basic Plan,Partnership,540.41,132.71,Completed
ORD_39,CUST_256,2024-10-19,Add-on,LinkedIn,427.79,178.32,Completed
ORD_40,CUST_766,2025-03-26,Onboarding,Partnership,967.26,380.11,Completed
ORD_41,CUST_1130,2025-03-18,Basic Plan,Partnership,150.05,33.17,Completed
ORD_42,CUST_1105,2024-11-25,Pro Plan,LinkedIn,655.61,143.41,Completed
ORD_43,CUST_424,2024-09-06,Add-on,LinkedIn,1045.26,261.15,Completed
ORD_44,CUST_222,2025-05-01,Basic Plan,LinkedIn,105.63,23.06,Completed
ORD_45,CUST_693,2024-11-29,Pro Plan,Partnership,161.97,65.96,Completed
ORD_46,CUST_567,2025-03-23,Basic Plan,TikTok,1172.3,279.38,Completed
ORD_47,CUST_946,2024-06-06,Basic Plan,Google Search,318.31,100.54,Completed
ORD_48,CUST_1439,2024-08-10,Pro Plan,LinkedIn,629.05,134.65,Completed
ORD_49,CUST_204,2024-11-12,Pro Plan,LinkedIn,272.09,84.86,Completed
ORD_50,CUST_248,2024-02-14,Pro Plan,Event Walk-in,641.97,173.05,Completed
ORD_51,CUST_1447,2025-02-27,Basic Plan,LinkedIn,1011.99,231.42,Completed
ORD_52,CUST_1423,2024-01-01,Business Plan,Google Search,1111.02,492.07,Completed
ORD_53,CUST_69,2024-09-27,Basic Plan,Partnership,253.59,110.12,Completed
ORD_54,CUST_1248,2024-09-12,Basic Plan,LinkedIn,652.3,228.41,Completed
ORD_55,CUST_57,2024-05-31,Basic Plan,LinkedIn,913.23,261.48,Completed
ORD_56,CUST_7,2024-05-20,Pro Plan,Partnership,364.46,84.03,Refunded
ORD_57,CUST_934,2025-02-14,Enterprise Plan,Google Search,116.75,20.04,Completed
ORD_58,CUST_876,2024-04-12,Pro Plan,Google Search,958.23,147.9,Completed
ORD_59,CUST_1474,2024-07-17,Basic Plan,Google Search,965.79,234.47,Completed
ORD_60,CUST_1288,2024-10-17,Basic Plan,Partnership,288.98,127.13,Refunded
ORD_61,CUST_818,2024-12-12,Basic Plan,Instagram,103.09,42.46,Completed
ORD_62,CUST_1281,2024-03-20,Business Plan,Google Search,441.94,161.29,Completed
ORD_63,CUST_1121,2024-02-03,Basic Plan,Google Search,894.65,398.03,Completed
ORD_64,CUST_848,2025-04-24,Enterprise Plan,Google Search,1105.69,321.2,Refunded
ORD_65,CUST_63,2024-08-28,Basic Plan,Google Search,1074.99,295.86,Completed
ORD_66,CUST_752,2024-09-28,Basic Plan,LinkedIn,638.07,283.38,Completed
ORD_67,CUST_275,2024-05-09,Basic Plan,Google Search,869.06,184.8,Completed
ORD_68,CUST_203,2024-11-28,Pro Plan,Instagram,1026.33,396.08,Completed
ORD_69,CUST_1298,2024-05-14,Pro Plan,LinkedIn,1043.34,232.3,Completed
ORD_70,CUST_1093,2025-06-23,Pro Plan,Google Search,187.21,76.95,Completed
ORD_71,CUST_815,2024-08-04,Basic Plan,Google Search,581.54,248.01,Completed
ORD_72,CUST_707,2024-04-18,Basic Plan,LinkedIn,446.78,170.79,Completed
ORD_73,CUST_380,2024-04-07,Basic Plan,Instagram,487.41,148.98,Completed
ORD_74,CUST_1383,2024-08-17,Business Plan,Instagram,840.5,240.25,Completed
ORD_75,CUST_117,2025-06-26,Basic Plan,LinkedIn,167.76,27.09,Completed
ORD_76,CUST_523,2025-01-02,Add-on,LinkedIn,1129.63,233.38,Cancelled
ORD_77,CUST_440,2025-05-31,Pro Plan,Google Search,681.46,165.42,Completed
ORD_78,CUST_1493,2024-09-28,Basic Plan,Google Search,920.45,208.29,Refunded
ORD_79,CUST_317,2024-10-29,Add-on,Google Search,370.57,105.06,Completed
ORD_80,CUST_5,2025-03-16,Business Plan,LinkedIn,626.36,123.23,Refunded
ORD_81,CUST_727,2024-10-30,Basic Plan,Instagram,858.93,225.58,Completed
ORD_82,CUST_24,2025-05-11,Business Plan,LinkedIn,404.66,91.91,Cancelled
ORD_83,CUST_1285,2024-11-06,Pro Plan,Instagram,564.15,129.68,Completed
ORD_84,CUST_9,2024-12-23,Basic Plan,Google Search,829.8,138.96,Completed
ORD_85,CUST_1099,2024-03-16,Business Plan,Instagram,1158.72,333.63,Completed
ORD_86,CUST_1417,2024-11-12,Basic Plan,Google Search,564.63,90.89,Completed
ORD_87,CUST_1148,2024-02-11,Pro Plan,Partnership,896.78,209.61,Completed
ORD_88,CUST_1226,2024-03-03,Onboarding,Google Search,705.47,192.46,Completed
ORD_89,CUST_784,2024-12-24,Basic Plan,Partnership,1152.31,394.87,Cancelled
ORD_90,CUST_597,2024-12-15,Premium Support,Google Search,307.81,124.62,Completed
ORD_91,CUST_1136,2024-05-30,Enterprise Plan,Partnership,865.15,213.97,Completed
ORD_92,CUST_1113,2025-01-06,Basic Plan,Referral,668.6,212.23,Refunded
ORD_93,CUST_568,2025-01-21,Basic Plan,Partnership,850.65,245.43,Completed
ORD_94,CUST_921,2025-06-21,Enterprise Plan,LinkedIn,584.73,89.11,Completed
ORD_95,CUST_256,2024-01-12,Basic Plan,LinkedIn,258.06,93.93,Completed
ORD_96,CUST_1336,2024-07-19,Enterprise Plan,Referral,967.68,346.9,Completed
ORD_97,CUST_1330,2024-09-14,Enterprise Plan,Instagram,263.79,58.06,Completed
ORD_98,CUST_1211,2024-02-25,Pro Plan,LinkedIn,941.92,306.4,Completed
ORD_99,CUST_1193,2024-07-23,Enterprise Plan,Google Search,1033.24,367.26,Completed
ORD_100,CUST_651,2024-06-03,Basic Plan,LinkedIn,100.81,23.64,Completed
ORD_101,CUST_305,2025-06-03,Pro Plan,LinkedIn,85.2,32.34,Completed
ORD_102,CUST_933,2024-07-04,Enterprise Plan,Google Search,628.27,275.99,Cancelled
ORD_103,CUST_806,2025-05-06,Basic Plan,LinkedIn,874.07,250.59,Completed
ORD_104,CUST_568,2025-04-22,Pro Plan,Partnership,1160.51,477.85,Completed
ORD_105,CUST_365,2024-03-06,Basic Plan,TikTok,919.66,297.83,Completed
ORD_106,CUST_1001,2024-12-25,Business Plan,Partnership,1195.24,256.48,Refunded
ORD_107,CUST_134,2025-03-03,Pro Plan,LinkedIn,812.27,269.89,Completed
ORD_108,CUST_1297,2024-12-30,Basic Plan,Google Search,414.84,169.74,Completed
ORD_109,CUST_355,2024-02-28,Pro Plan,LinkedIn,471.23,208.84,Completed
ORD_110,CUST_1481,2025-06-05,Basic Plan,LinkedIn,88.04,14.48,Completed
ORD_111,CUST_923,2025-05-06,Basic Plan,LinkedIn,1145.09,511.64,Cancelled
ORD_112,CUST_478,2025-04-29,Onboarding,LinkedIn,1108.96,235.76,Completed
ORD_113,CUST_1449,2024-10-15,Basic Plan,TikTok,743.65,287.01,Completed
ORD_114,CUST_446,2024-09-29,Basic Plan,Google Search,320.98,113.31,Completed
ORD_115,CUST_821,2024-10-16,Onboarding,TikTok,327.6,94.32,Refunded
ORD_116,CUST_899,2024-06-27,Business Plan,LinkedIn,178.83,31.03,Completed
ORD_117,CUST_987,2024-06-21,Business Plan,LinkedIn,401.93,153.23,Completed
ORD_118,CUST_180,2025-02-20,Enterprise Plan,Partnership,666.47,266.66,Completed
ORD_119,CUST_18,2025-06-15,Onboarding,LinkedIn,663.92,274.01,Completed
ORD_120,CUST_112,2024-08-06,Pro Plan,Google Search,472.78,74.2,Completed
ORD_121,CUST_466,2024-05-04,Basic Plan,TikTok,453.16,126.17,Cancelled
ORD_122,CUST_225,2024-08-23,Basic Plan,LinkedIn,249.81,44.4,Completed
ORD_123,CUST_621,2025-02-20,Pro Plan,Instagram,410.99,178.73,Completed
ORD_124,CUST_1403,2024-12-27,Pro Plan,Google Search,827.19,217.33,Completed
ORD_125,CUST_12,2024-12-25,Pro Plan,LinkedIn,1097.16,383.37,Completed
ORD_126,CUST_266,2024-08-23,Basic Plan,Google Search,434.55,167.3,Completed
ORD_127,CUST_1310,2024-03-04,Pro Plan,Google Search,795.78,228.95,Completed
ORD_128,CUST_1428,2024-11-06,Pro Plan,Google Search,41.57,6.8,Cancelled
ORD_129,CUST_771,2025-05-14,Add-on,Google Search,38.7,8.26,Completed
ORD_130,CUST_1085,2024-10-11,Basic Plan,Partnership,602.4,187.71,Completed
ORD_131,CUST_1268,2024-10-19,Enterprise Plan,Google Search,718.38,112.1,Completed
ORD_132,CUST_1186,2025-03-23,Add-on,TikTok,504.1,114.29,Completed
ORD_133,CUST_793,2024-08-31,Pro Plan,Instagram,1168.48,242.7,Refunded
ORD_134,CUST_373,2024-08-20,Enterprise Plan,LinkedIn,739.59,304.19,Completed
ORD_135,CUST_1376,2024-12-21,Pro Plan,LinkedIn,496.44,172.02,Completed
ORD_136,CUST_544,2024-04-06,Business Plan,LinkedIn,324.0,60.64,Completed
ORD_137,CUST_481,2024-04-17,Basic Plan,Google Search,110.42,38.27,Completed
ORD_138,CUST_26,2025-02-23,Basic Plan,Google Search,1117.92,455.23,Completed
ORD_139,CUST_20,2024-07-08,Pro Plan,LinkedIn,1114.04,371.12,Completed
ORD_140,CUST_848,2024-04-08,Premium Support,Google Search,750.87,193.56,Completed
ORD_141,CUST_1021,2024-02-29,Pro Plan,Google Search,975.08,148.25,Completed
ORD_142,CUST_782,2024-07-29,Pro Plan,Event Walk-in,323.5,63.43,Refunded
ORD_143,CUST_1434,2025-01-24,Basic Plan,Google Search,860.52,360.17,Completed
ORD_144,CUST_241,2025-02-23,Basic Plan,Google Search,849.96,154.02,Completed
ORD_145,CUST_1316,2025-06-12,Enterprise Plan,TikTok,511.08,132.59,Completed
ORD_146,CUST_421,2025-06-08,Pro Plan,LinkedIn,367.58,121.2,Completed
ORD_147,CUST_1000,2025-03-06,Premium Support,LinkedIn,501.43,212.69,Completed
ORD_148,CUST_582,2024-07-03,Basic Plan,LinkedIn,621.39,237.49,Completed
ORD_149,CUST_558,2024-07-14,Enterprise Plan,Google Search,337.93,87.51,Completed
ORD_150,CUST_1375,2025-03-01,Basic Plan,Google Search,1196.59,374.37,Completed
ORD_151,CUST_1410,2025-06-04,Pro Plan,LinkedIn,229.45,98.66,Completed
ORD_152,CUST_860,2024-04-10,Basic Plan,Partnership,1054.96,380.65,Completed
ORD_153,CUST_304,2024-11-18,Pro Plan,Partnership,676.21,277.64,Completed
ORD_154,CUST_715,2024-03-24,Pro Plan,Instagram,516.72,202.45,Refunded
ORD_155,CUST_140,2025-01-11,Basic Plan,Google Search,36.16,6.53,Completed
ORD_156,CUST_640,2025-02-20,Pro Plan,Google Search,660.43,109.21,Completed
ORD_157,CUST_394,2024-03-11,Pro Plan,LinkedIn,700.72,136.9,Completed
ORD_158,CUST_667,2025-01-29,Business Plan,LinkedIn,503.75,87.81,Completed
ORD_159,CUST_1271,2025-02-16,Business Plan,TikTok,1170.51,331.21,Completed
ORD_160,CUST_1414,2024-04-06,Basic Plan,Partnership,239.09,97.87,Completed
ORD_161,CUST_467,2025-04-04,Basic Plan,LinkedIn,859.8,262.99,Completed
ORD_162,CUST_890,2024-05-12,Pro Plan,Partnership,611.88,130.6,Completed
ORD_163,CUST_31,2024-12-23,Enterprise Plan,Event Walk-in,151.6,56.2,Completed
ORD_164,CUST_703,2024-08-14,Pro Plan,Partnership,135.02,53.81,Completed
ORD_165,CUST_967,2025-02-24,Basic Plan,LinkedIn,532.1,190.27,Refunded
ORD_166,CUST_92,2024-08-19,Basic Plan,Google Search,71.08,19.42,Cancelled
ORD_167,CUST_612,2024-05-27,Business Plan,Google Search,1005.43,282.12,Completed
ORD_168,CUST_727,2025-01-23,Business Plan,Instagram,691.74,189.56,Completed
ORD_169,CUST_1241,2024-07-09,Enterprise Plan,Google Search,358.89,63.8,Completed
ORD_170,CUST_1368,2025-06-17,Basic Plan,LinkedIn,763.83,271.65,Completed
ORD_171,CUST_1162,2024-06-26,Add-on,Event Walk-in,443.72,117.29,Completed
ORD_172,CUST_389,2025-02-19,Basic Plan,Google Search,672.45,156.25,Completed
ORD_173,CUST_149,2024-07-06,Business Plan,Instagram,600.82,173.99,Completed
ORD_174,CUST_981,2025-01-29,Pro Plan,Google Search,840.42,231.53,Completed
